datestamp,polygon_id,centre_name,centre_type,centre_region,h3_key,latitude,longitude,footfall_value
2022-04-01,cdrc-retail-centre-gb/RC_EW_2240,Chelmsford,Town Centre,East of England,8c194e0d321bdff,51.73100561,0.4734868506,3.026533618
2022-04-01,cdrc-retail-centre-gb/RC_EW_2240,Chelmsford,Town Centre,East of England,8c194e0d32183ff,51.73107587,0.4738977807,2.017689079
2022-04-01,cdrc-retail-centre-gb/RC_EW_2240,Chelmsford,Town Centre,East of England,8c194e0d32007ff,51.73191891,0.4747899563,2.017689079
2022-04-01,cdrc-retail-centre-gb/RC_EW_2240,Chelmsford,Town Centre,East of England,8c194e0d33941ff,51.73524698,0.4705283293,2.017689079
2022-04-01,cdrc-retail-centre-gb/RC_EW_2240,Chelmsford,Town Centre,East of England,8c194e0d32a9dff,51.73133928,0.4724094973,1.135016809
2022-04-01,cdrc-retail-centre-gb/RC_EW_2240,Chelmsford,Town Centre,East of England,8c194e0d33949ff,51.73536115,0.4706912284,3.026533618
2022-04-01,cdrc-retail-centre-gb/RC_EW_2240,Chelmsford,Town Centre,East of England,8c194e0d321abff,51.73116367,0.4734016919,4.035378157
2022-04-01,cdrc-retail-centre-gb/RC_EW_2240,Chelmsford,Town Centre,East of England,8c194e0d32185ff,51.73127784,0.473564577,3.026533618
2022-04-01,cdrc-retail-centre-gb/RC_EW_2240,Chelmsford,Town Centre,East of England,8c194e0d3211bff,51.73193646,0.4738829267,3.026533618
2022-04-01,cdrc-retail-centre-gb/RC_EW_2240,Chelmsford,Town Centre,East of England,8c194e0d32317ff,51.73266533,0.4746122208,5.044222697
